Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,_report_date,_source_file,_ingested_at
Jiangsu,Mainland China,2020-03-08T09:23:05,631,0,612,32.9711,119.455,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Chongqing,Mainland China,2020-03-08T23:23:03,576,6,527,30.0572,107.874,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Sichuan,Mainland China,2020-03-08T12:53:03,539,3,464,30.6171,102.7103,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Japan,2020-03-08T14:53:11,502,6,76,36.0,138.0,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Heilongjiang,Mainland China,2020-03-08T14:43:03,481,13,412,47.862,127.7615,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Beijing,Mainland China,2020-03-08T01:23:07,428,8,308,40.1824,116.4142,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Shanghai,Mainland China,2020-03-08T04:33:02,342,3,314,31.202,121.4491,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Switzerland,2020-03-08T17:23:07,337,2,3,46.8182,8.2275,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Hebei,Mainland China,2020-03-07T13:03:05,318,6,307,38.0428,114.5149,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Fujian,Mainland China,2020-03-07T13:03:05,296,1,295,26.0789,117.9874,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Unknown,United Kingdom,2020-03-08T22:03:10,273,0,18,55.0,-3.0,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Netherlands,2020-03-08T13:43:02,265,3,0,52.1326,5.2913,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Guangxi,Mainland China,2020-03-08T00:23:02,252,2,223,23.8298,108.7881,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Shaanxi,Mainland China,2020-03-08T14:43:03,245,1,227,35.1917,108.8701,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Sweden,2020-03-08T14:03:12,203,0,0,63.0,16.0,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Belgium,2020-03-08T17:23:07,200,0,1,50.8333,4.0,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Norway,2020-03-08T21:03:03,176,0,0,60.472,8.4689,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Yunnan,Mainland China,2020-03-06T03:23:06,174,2,170,24.974,101.487,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Hainan,Mainland China,2020-03-08T04:33:02,168,6,159,19.1959,109.7453,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Singapore,2020-03-08T13:33:13,150,0,78,1.2833,103.8333,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Guizhou,Mainland China,2020-03-08T01:13:11,146,2,117,26.8154,106.8748,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Tianjin,Mainland China,2020-03-05T03:33:27,136,3,128,39.3054,117.323,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Shanxi,Mainland China,2020-03-05T14:53:03,133,0,126,37.5777,112.2922,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Liaoning,Mainland China,2020-03-08T05:13:06,125,1,109,41.2956,122.6085,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Gansu,Mainland China,2020-03-08T14:33:06,124,2,87,36.0611,103.8343,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Hong Kong,Hong Kong,2020-03-08T14:43:03,114,3,58,22.3,114.2,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Austria,2020-03-08T09:13:14,75,0,0,47.5162,14.5501,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Jilin,Mainland China,2020-03-06T10:23:03,93,1,90,43.6661,126.1923,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Bahrain,2020-03-07T18:13:26,85,0,4,26.0275,50.55,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"King County, WA",US,2020-03-08T20:23:09,83,17,1,47.548,-121.9836,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Westchester County, NY",US,2020-03-08T18:03:07,83,0,0,41.122,-73.7949,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Xinjiang,Mainland China,2020-03-08T05:33:02,76,3,73,41.1129,85.2401,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Inner Mongolia,Mainland China,2020-03-08T05:13:06,75,1,70,44.0935,113.9448,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Ningxia,Mainland China,2020-03-06T12:53:03,75,0,71,37.2692,106.1655,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Greece,2020-03-08T17:23:07,73,0,0,39.0742,21.8243,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Kuwait,2020-03-08T15:33:04,64,0,1,29.5,47.75,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Iraq,2020-03-08T21:03:03,60,6,0,33.0,44.0,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Iceland,2020-03-07T18:13:27,50,0,0,64.9631,-19.0208,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Thailand,2020-03-07T10:13:23,50,1,33,15.0,101.0,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Egypt,2020-03-08T19:03:11,49,1,1,26.0,30.0,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Taiwan,Taiwan,2020-03-08T03:13:13,45,1,13,23.7,121.0,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Unassigned Location (From Diamond Princess),US,2020-03-02T19:53:03,45,0,0,35.4437,139.638,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,United Arab Emirates,2020-03-07T10:13:22,45,0,7,24.0,54.0,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,India,2020-03-08T09:23:05,39,0,3,21.0,78.0,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Israel,2020-03-08T21:03:03,34,0,0,31.0,35.0,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
New South Wales,Australia,2020-03-08T05:13:07,38,3,4,-33.8688,151.2093,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Santa Clara County, CA",US,2020-03-08T21:23:03,38,0,1,37.3541,-121.9552,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,San Marino,2020-03-08T14:23:10,27,1,0,43.9424,12.4578,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Denmark,2020-03-08T14:53:11,35,0,1,56.2639,9.5018,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Lebanon,2020-03-08T18:13:19,32,0,1,33.8547,35.8623,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Czech Republic,2020-03-08T19:53:03,31,0,0,49.8175,15.473,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Snohomish County, WA",US,2020-03-08T21:43:03,31,1,0,48.033,-121.8339,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Portugal,2020-03-08T19:53:03,30,0,0,39.3999,-8.2245,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Vietnam,2020-03-08T19:53:03,30,0,16,16.0,108.0,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Toronto, ON",Canada,2020-03-08T21:33:02,28,0,3,43.6532,-79.3832,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
British Columbia,Canada,2020-03-08T05:13:07,27,0,4,49.2827,-123.1207,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Finland,2020-03-08T10:03:13,35,1,1,64.0,26.0,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Palestine,2020-03-07T02:23:06,22,0,0,31.9522,35.2332,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Republic of Ireland,2020-03-08T21:03:03,21,0,0,53.1424,-7.6921,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Grand Princess Cruise Ship,US,2020-03-07T01:33:02,21,0,0,37.6489,-122.6655,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Brazil,2020-03-08T17:23:07,20,0,0,-14.235,-51.9253,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Algeria,2020-03-08T05:23:03,19,0,0,28.0339,1.6596,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Ireland,2020-03-08T21:03:03,19,0,0,53.4167,-8.0,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,18,35.7452,95.9956,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Russia,2020-03-08T21:03:03,17,0,3,60.0,90.0,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Oman,2020-03-05T17:53:02,16,0,2,21.0,57.0,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Slovenia,2020-03-08T17:03:16,16,0,0,46.1512,14.9955,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Queensland,Australia,2020-03-08T05:43:04,15,0,8,-28.0167,153.4,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Qatar,2020-03-08T17:03:16,15,0,0,25.3548,51.1839,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Romania,2020-03-08T17:23:07,15,0,3,46.0,25.0,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Ecuador,2020-03-08T05:23:03,14,0,0,-1.8312,-78.1834,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Los Angeles, CA",US,2020-03-08T01:13:48,14,0,0,34.0522,-118.2437,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Georgia,2020-03-08T05:23:03,13,0,0,42.3154,43.3569,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Argentina,2020-03-08T22:03:11,12,1,0,-38.4161,-63.6167,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Croatia,2020-03-07T10:13:23,12,0,0,45.1667,15.5,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Contra Costa County, CA",US,2020-03-08T21:43:03,12,0,0,37.8534,-121.9018,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"New York County, NY",US,2020-03-08T04:13:22,12,0,0,40.7128,-74.006,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Victoria,Australia,2020-03-07T02:03:30,11,0,7,-37.8136,144.9631,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Poland,2020-03-08T21:13:10,11,0,0,51.9194,19.1451,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Saudi Arabia,2020-03-08T10:13:19,11,0,0,24.0,45.0,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Estonia,2020-03-06T13:03:13,10,0,0,58.5953,25.0136,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Macau,Macau,2020-03-06T10:23:03,10,0,10,22.1667,113.55,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Philippines,2020-03-08T17:13:06,10,1,1,13.0,122.0,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Azerbaijan,2020-03-07T02:13:09,9,0,0,40.1431,47.5769,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"San Francisco County, CA",US,2020-03-08T01:23:12,9,0,0,37.7749,-122.4194,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Chile,2020-03-08T15:43:03,8,0,0,-35.6751,-71.543,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Suffolk County, MA",US,2020-03-08T21:13:14,8,0,1,42.3601,-71.0589,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Washington County, OR",US,2020-03-08T19:43:03,8,0,0,45.547,-123.1386,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
South Australia,Australia,2020-03-06T04:23:08,7,0,2,-34.9285,138.6007,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Hungary,2020-03-08T15:03:02,7,0,0,47.1625,19.5033,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Mexico,2020-03-08T05:13:06,7,0,1,23.0,-102.0,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Cook County, IL",US,2020-03-08T20:23:09,7,0,2,41.7377,-87.6976,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Middlesex County, MA",US,2020-03-08T21:13:12,7,0,0,42.4672,-71.2874,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Belarus,2020-03-04T12:43:03,6,0,0,53.7098,27.9534,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Indonesia,2020-03-08T10:03:13,6,0,0,-0.7893,113.9213,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Pakistan,2020-03-08T04:53:02,6,0,1,30.3753,69.3451,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Peru,2020-03-08T05:23:03,6,2,0,-9.19,-75.0152,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Fort Bend County, TX",US,2020-03-08T17:33:03,6,0,0,29.5693,-95.8143,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Norfolk County, MA",US,2020-03-08T21:13:14,6,0,0,42.1767,-71.1449,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Costa Rica,2020-03-08T05:13:07,5,0,0,9.7489,-83.7534,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Dominican Republic,2020-03-08T17:23:08,5,0,0,18.7357,-70.1627,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,French Guiana,2020-03-07T03:23:05,5,0,0,3.9339,-53.1258,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,New Zealand,2020-03-07T02:03:29,5,0,0,-40.9006,174.886,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Harris County, TX",US,2020-03-07T05:13:03,5,0,0,29.7752,-95.3103,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Nassau County, NY",US,2020-03-08T16:03:05,5,0,0,40.6546,-73.5594,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Placer County, CA",US,2020-03-06T23:13:07,5,1,0,39.0916,-120.8039,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Unassigned Location, WA",US,2020-03-06T00:33:03,5,0,0,47.7511,-120.7401,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Afghanistan,2020-03-08T04:53:03,8,0,0,33.0,65.0,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Bulgaria,2020-03-08T11:13:17,4,0,0,42.7339,25.4858,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
" Montreal, QC",Canada,2020-03-08T16:03:05,14,0,0,45.5017,-73.5673,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Maldives,2020-03-08T21:13:10,4,0,0,3.2028,73.2207,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Senegal,2020-03-08T20:23:08,4,0,1,14.4974,-14.4524,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Bergen County, NJ",US,2020-03-08T21:23:03,4,0,0,40.9263,-74.077,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Grafton County, NH",US,2020-03-08T17:53:03,4,0,0,43.9088,-71.826,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Montgomery County, MD",US,2020-03-08T21:53:04,4,0,0,39.1547,-77.2405,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Montgomery County, PA",US,2020-03-08T21:43:03,4,0,0,40.229,-75.3879,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Pierce County, WA",US,2020-03-08T21:43:03,4,0,0,47.0676,-122.1295,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Western Australia,Australia,2020-03-05T17:13:35,3,1,0,-31.9505,115.8605,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Bangladesh,2020-03-08T10:53:02,3,0,0,23.685,90.3563,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Bosnia and Herzegovina,2020-03-07T02:13:09,3,0,0,43.9159,17.6791,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Edmonton, Alberta",Canada,2020-03-08T16:23:07,3,0,0,53.5461,-113.4938,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Luxembourg,2020-03-08T05:13:06,3,0,0,49.8144,6.1317,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Malta,2020-03-08T09:13:16,3,0,0,35.9375,14.3754,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,North Macedonia,2020-03-06T20:23:11,3,0,0,41.6086,21.7453,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Saint Barthelemy,2020-03-04T02:43:03,3,0,0,17.9,-62.8333,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Slovakia,2020-03-08T09:13:15,3,0,0,48.669,19.699,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,South Africa,2020-03-08T10:23:04,3,0,0,-30.5595,22.9375,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Douglas County, CO",US,2020-03-07T01:53:03,3,0,0,39.2587,-104.9389,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Fulton County, GA",US,2020-03-07T16:53:03,3,0,0,33.8034,-84.3963,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Maricopa County, AZ",US,2020-03-07T19:53:02,3,0,1,33.2918,-112.4291,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Orange County, CA",US,2020-03-04T02:13:11,3,0,0,33.7879,-117.8531,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Providence County, RI",US,2020-03-07T02:23:08,3,0,0,41.8882,-71.4774,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"San Diego County, CA",US,2020-03-05T20:33:03,3,0,1,32.7157,-117.1611,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Tasmania,Australia,2020-03-08T05:43:04,2,0,0,-41.4545,145.9707,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Cambodia,2020-03-08T04:53:03,2,0,1,11.55,104.9167,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Cameroon,2020-03-08T05:23:03,2,0,0,3.848,11.5021,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Faroe Islands,2020-03-08T05:13:07,2,0,0,61.8926,-6.9118,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Latvia,2020-03-08T10:33:03,2,0,0,56.8796,24.6032,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Martinique,2020-03-07T03:23:05,2,0,0,14.6415,-61.0242,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Morocco,2020-03-05T13:53:03,2,0,0,31.7917,-7.0926,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Tunisia,2020-03-08T21:13:10,2,0,0,33.8869,9.5375,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Alameda County, CA",US,2020-03-07T13:13:14,2,0,0,37.6017,-121.7195,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Broward County, FL",US,2020-03-07T04:43:02,2,0,0,26.1901,-80.3659,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Clark County, NV",US,2020-03-08T21:43:03,2,0,0,36.0796,-115.094,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Denver County, CO",US,2020-03-06T23:33:02,2,0,0,39.7392,-104.9903,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Fairfax County, VA",US,2020-03-08T21:33:02,2,0,0,38.9085,-77.2405,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Hillsborough, FL",US,2020-03-03T18:33:02,2,0,0,27.9904,-82.3018,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Jackson County, OR ",US,2020-03-08T00:13:16,2,0,0,42.3345,-122.7647,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Lee County, FL",US,2020-03-08T15:33:04,2,1,0,26.663,-81.9535,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Pinal County, AZ",US,2020-03-07T17:13:23,2,0,0,32.8162,-111.2845,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Rockingham County, NH",US,2020-03-08T17:53:03,2,0,0,42.9931,-71.0498,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Rockland County, NY",US,2020-03-07T16:43:02,2,0,0,41.1489,-73.983,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Sacramento County, CA",US,2020-02-27T20:33:02,2,0,0,38.4747,-121.3542,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"San Benito, CA",US,2020-02-03T03:53:02,2,0,0,36.5761,-120.9876,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"San Mateo, CA",US,2020-03-03T00:43:02,2,0,0,37.563,-122.3255,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Saratoga County, NY",US,2020-03-07T18:23:05,2,0,0,43.0324,-73.936,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Summit County, CO",US,2020-03-06T01:29:39,2,0,0,39.5912,-106.064,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Washington, D.C.",US,2020-03-08T13:53:03,2,0,0,38.9072,-77.0369,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Washoe County, NV",US,2020-03-08T21:43:03,2,0,0,40.5608,-119.6035,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Andorra,2020-03-02T20:23:16,1,0,0,42.5063,1.5218,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Armenia,2020-03-01T19:53:02,1,0,0,40.0691,45.0382,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Bhutan,2020-03-06T15:43:02,1,0,0,27.5142,90.4336,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Calgary, Alberta",Canada,2020-03-06T13:13:34,1,0,0,51.0447,-114.0719,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"London, ON",Canada,2020-02-12T18:53:03,1,0,1,42.9849,-81.2453,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Colombia,2020-03-07T00:43:02,1,0,0,4.5709,-74.2973,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Gibraltar,2020-03-04T13:03:13,1,0,0,36.1408,-5.3536,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Jordan,2020-03-03T15:33:02,1,0,0,31.24,36.51,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Liechtenstein,2020-03-04T01:33:07,1,0,0,47.14,9.55,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Lithuania,2020-02-28T16:23:03,0,0,0,55.1694,23.8813,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1,31.6927,88.0924,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Moldova,2020-03-08T05:13:07,1,0,0,47.4116,28.3699,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Monaco,2020-02-29T00:33:01,1,0,0,43.7333,7.4167,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Nepal,2020-02-12T14:43:03,1,0,1,28.1667,84.25,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Nigeria,2020-02-28T16:23:03,1,0,0,9.082,8.6753,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Paraguay,2020-03-08T09:13:16,1,0,0,-23.4425,-58.4438,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Serbia,2020-03-06T15:43:02,1,0,0,44.0165,21.0059,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Sri Lanka,2020-02-08T03:43:03,1,0,1,7.0,81.0,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
,Togo,2020-03-07T02:13:09,1,0,0,8.6195,0.8248,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
"Berkshire County, MA",US,2020-03-08T00:43:03,1,0,0,42.3118,-73.1822,2020-03-08,03-08-2020.csv,2026-05-18 17:40:46.449557
