Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,_report_date,_source_file,_ingested_at
,Japan,2020-03-12T05:13:02,639,16,118,36.0,138.0,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Jiangsu,China,2020-03-12T05:13:02,631,0,629,32.9711,119.455,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Denmark,Denmark,2020-03-12T09:53:06,615,0,1,56.2639,9.5018,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Sweden,2020-03-12T21:39:09,599,1,1,63.0,16.0,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Chongqing,China,2020-03-12T23:44:32,576,6,564,30.0572,107.874,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Sichuan,China,2020-03-12T12:13:07,539,3,498,30.6171,102.7103,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Netherlands,2020-03-11T14:13:11,503,5,0,52.1326,5.2913,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Heilongjiang,China,2020-03-12T13:13:31,482,13,441,47.862,127.7615,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Unknown,United Kingdom,2020-03-11T21:33:03,456,0,18,55.3781,-3.436,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Washington,US,2020-03-12T23:44:33,442,31,1,47.4009,-121.4905,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Beijing,China,2020-03-12T01:13:05,435,8,334,40.1824,116.4142,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Shanghai,China,2020-03-12T07:53:02,344,3,321,31.202,121.4491,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
New York,US,2020-03-12T21:39:10,328,0,0,42.1657,-74.9481,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Hebei,China,2020-03-12T05:33:02,318,6,308,39.549,116.1306,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Belgium,2020-03-11T18:52:03,314,3,1,50.8333,4.0,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Austria,2020-03-12T11:13:29,203,0,4,47.5162,14.5501,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Fujian,China,2020-03-11T02:18:14,296,1,295,26.0789,117.9874,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Qatar,2020-03-11T18:52:03,262,0,0,25.3548,51.1839,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Guangxi,China,2020-03-12T00:33:06,252,2,241,23.8298,108.7881,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Shaanxi,China,2020-03-12T01:33:02,245,2,232,35.1917,108.8701,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
California,US,2020-03-12T23:44:33,221,4,6,36.1162,-119.6816,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Bahrain,2020-03-11T22:33:03,195,0,35,26.0275,50.55,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Singapore,2020-03-11T13:53:24,178,0,96,1.2833,103.8333,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Yunnan,China,2020-03-11T02:18:14,174,2,170,24.974,101.487,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Hainan,China,2020-03-12T03:53:02,168,6,160,19.1959,109.7453,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Guizhou,China,2020-03-12T01:13:06,146,2,137,26.8154,106.8748,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Tianjin,China,2020-03-12T01:53:03,136,3,132,39.3054,117.323,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Shanxi,China,2020-03-12T09:13:24,133,0,132,37.5777,112.2922,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Israel,2020-03-12T21:39:09,112,0,0,31.0,35.0,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Hong Kong,China,2020-03-12T01:53:02,129,3,67,22.3,114.2,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Gansu,China,2020-03-11T14:33:03,127,2,88,37.8099,101.0583,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Liaoning,China,2020-03-12T09:53:06,125,1,112,41.2956,122.6085,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Massachusetts,US,2020-03-12T21:39:09,108,0,1,42.2302,-71.5301,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Iceland,2020-03-12T21:39:09,103,0,1,64.9631,-19.0208,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Greece,2020-03-11T23:53:02,99,1,0,39.0742,21.8243,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Czechia,2020-03-12T01:33:03,94,0,0,49.8175,15.473,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Jilin,China,2020-03-12T23:44:32,93,1,91,43.6661,126.1923,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Slovenia,2020-03-12T13:33:02,89,0,0,46.1512,14.9955,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,United Arab Emirates,2020-03-12T21:39:09,85,0,17,23.4241,53.8478,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Kuwait,2020-03-12T09:13:24,80,0,5,29.5,47.75,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Xinjiang,China,2020-03-11T02:18:14,76,3,73,41.1129,85.2401,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Inner Mongolia,China,2020-03-11T03:53:03,75,1,71,44.0935,113.9448,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Ningxia,China,2020-03-11T09:33:12,75,0,72,37.2692,106.1655,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,India,2020-03-12T08:33:13,73,1,4,21.0,78.0,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Iraq,2020-03-12T08:33:13,71,8,15,33.0,44.0,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Thailand,2020-03-12T08:53:02,72,1,35,15.87,100.9925,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,San Marino,2020-03-12T08:53:02,60,2,0,43.9424,12.4578,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Egypt,2020-03-12T08:53:02,67,1,27,26.0,30.0,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
New South Wales,Australia,2020-03-11T18:52:04,65,2,4,-33.8688,151.2093,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Lebanon,2020-03-12T09:13:24,61,3,1,33.8547,35.8623,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Finland,2020-03-11T13:33:10,191,1,1,64.0,26.0,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Portugal,2020-03-11T13:33:11,59,0,0,39.3999,-8.2245,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Brazil,2020-03-12T01:33:03,52,0,0,-14.235,-51.9253,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Philippines,2020-03-12T09:53:06,52,2,2,12.8797,121.774,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Poland,2020-03-12T13:33:02,49,1,0,51.9194,19.1451,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Romania,2020-03-12T09:13:24,49,0,6,46.0,25.0,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Taiwan*,2020-03-12T08:13:09,49,1,20,23.7,121.0,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
British Columbia,Canada,2020-03-12T01:53:03,46,1,4,53.7267,-127.6476,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Diamond Princess,US,2020-03-10T02:33:04,46,0,0,35.4437,139.638,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Saudi Arabia,2020-03-12T01:17:58,45,0,1,24.0,45.0,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Colorado,US,2020-03-12T21:39:10,45,0,0,39.0598,-105.3111,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Ireland,2020-03-11T21:33:03,43,1,0,53.1424,-7.6921,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Ontario,Canada,2020-03-12T01:53:03,190,2,4,51.2538,-85.3232,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Vietnam,2020-03-12T09:33:03,39,0,16,16.0,108.0,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Florida,US,2020-03-12T21:39:10,35,2,0,27.7663,-81.6868,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Indonesia,2020-03-11T11:14:26,34,1,2,-0.7893,113.9213,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Illinois,US,2020-03-12T23:44:33,32,0,2,40.3495,-88.9861,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Georgia,US,2020-03-12T21:39:10,31,1,0,33.0406,-83.6431,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
New Jersey,US,2020-03-12T21:39:10,29,1,0,40.2989,-74.521,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Russia,2020-03-12T08:53:02,28,0,3,60.0,90.0,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Texas,US,2020-03-12T23:44:33,27,0,0,31.0545,-97.5635,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Algeria,2020-03-12T09:13:24,24,1,8,28.0339,1.6596,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Georgia,2020-03-11T22:13:12,24,0,0,42.3154,43.3569,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Oregon,US,2020-03-12T23:44:33,24,0,0,44.572,-122.0709,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Albania,2020-03-12T21:39:09,23,1,0,41.1533,20.1683,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Chile,2020-03-11T22:13:12,23,0,0,-35.6751,-71.543,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Costa Rica,2020-03-12T01:33:03,22,0,0,9.7489,-83.7534,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Pennsylvania,US,2020-03-12T21:39:10,22,0,0,40.5908,-77.2098,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Victoria,Australia,2020-03-11T18:52:04,21,0,7,-37.8136,144.9631,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Grand Princess,US,2020-03-10T02:33:04,21,0,0,37.6489,-122.6655,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Queensland,Australia,2020-03-11T18:52:04,20,0,8,-28.0167,153.4,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Pakistan,2020-03-12T08:53:02,20,0,2,30.3753,69.3451,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Argentina,2020-03-11T02:18:16,19,1,0,-38.4161,-63.6167,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Alberta,Canada,2020-03-11T23:13:07,19,0,0,53.9333,-116.5765,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Croatia,2020-03-11T22:13:12,19,0,0,45.1667,15.5,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Luxembourg,2020-03-12T10:53:03,19,0,0,49.8144,6.1317,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Serbia,2020-03-12T09:13:24,19,0,0,44.0165,21.0059,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Louisiana,US,2020-03-12T23:44:33,19,0,0,31.1695,-91.8678,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Qinghai,China,2020-03-11T02:18:14,18,0,18,35.7452,95.9956,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Oman,2020-03-10T08:33:02,18,0,9,21.0,57.0,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Tennessee,US,2020-03-12T21:39:10,18,0,0,35.7478,-86.6923,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Ecuador,2020-03-11T09:33:12,17,0,0,-1.8312,-78.1834,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,South Africa,2020-03-12T09:13:24,17,0,0,-30.5595,22.9375,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Virginia,US,2020-03-12T21:39:10,17,0,0,37.7693,-78.17,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Estonia,2020-03-11T22:13:12,16,0,0,58.5953,25.0136,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Slovakia,2020-03-12T13:33:02,10,0,0,48.669,19.699,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Iowa,US,2020-03-12T23:44:33,16,0,0,42.0115,-93.2105,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Peru,2020-03-12T08:53:02,15,3,0,-9.19,-75.0152,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
North Carolina,US,2020-03-12T21:39:10,15,0,0,35.6301,-79.8064,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Nevada,US,2020-03-12T23:44:33,14,0,0,38.3135,-117.0554,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Hungary,2020-03-11T22:13:12,13,0,0,47.1625,19.5033,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Indiana,US,2020-03-12T23:44:33,13,0,0,39.8494,-86.2583,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Belarus,2020-03-12T08:53:02,12,0,3,53.7098,27.9534,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Mexico,2020-03-12T05:13:03,12,0,4,23.0,-102.0,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Maryland,US,2020-03-12T01:53:03,12,0,0,39.0639,-76.8021,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
South Carolina,US,2020-03-12T21:39:10,12,0,0,33.8569,-80.945,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Azerbaijan,2020-03-11T08:13:09,11,0,3,40.1431,47.5769,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Bosnia and Herzegovina,2020-03-12T09:13:26,11,0,0,43.9159,17.6791,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Brunei,2020-03-11T22:13:12,11,0,0,4.5353,114.7277,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Panama,2020-03-12T08:53:02,11,1,0,8.538,-80.7821,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Macau,China,2020-03-11T18:52:03,10,0,10,22.1667,113.55,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Latvia,2020-03-11T13:53:24,10,0,1,56.8796,24.6032,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
District of Columbia,US,2020-03-11T22:53:03,10,0,0,38.8974,-77.0268,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Kentucky,US,2020-03-12T23:44:33,10,0,0,37.6681,-84.6701,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Nebraska,US,2020-03-12T01:53:03,10,0,0,41.1254,-98.2681,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
South Australia,Australia,2020-03-11T18:52:04,9,0,2,-34.9285,138.6007,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Western Australia,Australia,2020-03-11T18:52:04,9,1,0,-31.9505,115.8605,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Quebec,Canada,2020-03-12T01:53:03,33,0,0,52.9399,-73.5491,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Colombia,2020-03-11T14:33:04,9,0,0,4.5709,-74.2973,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Arizona,US,2020-03-11T18:52:04,9,0,1,33.7298,-111.4312,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Minnesota,US,2020-03-12T21:39:10,9,0,0,45.6945,-93.9002,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Maldives,2020-03-11T09:33:12,8,0,0,3.2028,73.2207,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
South Dakota,US,2020-03-11T22:53:03,8,1,0,44.2998,-99.4388,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Wisconsin,US,2020-03-12T21:39:10,8,0,1,44.2685,-89.6165,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Afghanistan,2020-03-11T10:13:12,11,0,0,33.0,65.0,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Bulgaria,2020-03-11T22:13:12,7,1,0,42.7339,25.4858,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,North Macedonia,2020-03-10T10:53:03,7,0,0,41.6086,21.7453,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Tunisia,2020-03-11T18:52:03,7,0,0,33.8869,9.5375,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Cyprus,2020-03-11T18:52:03,6,0,0,35.1264,33.4299,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Malta,2020-03-11T11:33:08,6,0,0,35.9375,14.3754,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Morocco,2020-03-12T01:33:03,6,1,0,31.7917,-7.0926,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Arkansas,US,2020-03-12T21:39:10,6,0,0,34.9697,-92.3731,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
New Hampshire,US,2020-03-12T21:39:10,6,0,0,43.4525,-71.5639,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Dominican Republic,2020-03-08T17:23:08,5,0,0,18.7357,-70.1627,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,French Guiana,2020-03-07T03:23:05,5,0,0,3.9339,-53.1258,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,New Zealand,2020-03-07T02:03:29,5,0,0,-40.9006,174.886,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Paraguay,2020-03-11T04:33:03,6,0,0,-23.4425,-58.4438,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Connecticut,US,2020-03-12T23:44:33,5,0,0,41.5978,-72.7554,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
New Mexico,US,2020-03-12T23:44:33,5,0,0,34.8405,-106.2485,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Ohio,US,2020-03-12T09:33:03,5,0,0,40.3888,-82.7649,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Rhode Island,US,2020-03-11T03:13:08,5,0,0,41.6809,-71.5118,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Utah,US,2020-03-12T23:44:33,5,0,0,40.15,-111.8624,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Armenia,2020-03-12T21:39:09,4,0,0,40.0691,45.0382,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Senegal,2020-03-08T20:23:08,4,0,1,14.4974,-14.4524,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Tasmania,Australia,2020-03-11T18:52:04,3,0,0,-41.4545,145.9707,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Bangladesh,2020-03-10T06:19:32,3,0,0,23.685,90.3563,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Cambodia,2020-03-11T09:33:12,3,0,1,12.5657,104.991,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Cuba,2020-03-12T05:53:03,3,0,0,22.0,-80.0,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Lithuania,2020-03-11T02:18:26,0,0,0,55.1694,23.8813,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Martinique,2020-03-11T02:18:29,3,0,0,14.6415,-61.0242,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Moldova,2020-03-11T18:52:03,3,0,0,47.4116,28.3699,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Bolivia,2020-03-11T18:52:03,2,0,0,-16.2902,-63.5887,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Burkina Faso,2020-03-11T09:33:12,2,0,0,12.2383,-1.5616,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Cameroon,2020-03-08T05:23:03,2,0,0,3.848,11.5021,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Faroe Islands,Denmark,2020-03-11T20:53:02,2,0,0,61.8926,-6.9118,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
St Martin,France,2020-03-11T20:53:02,2,0,0,18.0708,-63.0501,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Honduras,2020-03-11T18:52:03,2,0,0,15.2,-86.2419,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Jamaica,2020-03-12T01:33:03,2,0,0,18.1096,-77.2975,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Monaco,2020-03-12T12:53:03,2,0,0,43.7333,7.4167,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Nigeria,2020-03-09T09:43:03,2,0,0,9.082,8.6753,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Sri Lanka,2020-03-11T09:33:12,2,0,1,7.8731,80.7718,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Hawaii,US,2020-03-10T03:13:17,2,0,0,21.0943,-157.4983,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Michigan,US,2020-03-11T03:33:05,2,0,0,43.3266,-84.5361,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Oklahoma,US,2020-03-10T17:13:25,2,0,0,35.5653,-96.9289,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Vermont,US,2020-03-12T01:53:03,2,0,0,44.0459,-72.7107,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Channel Islands,United Kingdom,2020-03-11T20:53:02,0,0,0,49.3723,-2.3644,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Andorra,2020-03-12T23:44:32,1,0,1,42.5063,1.5218,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Northern Territory,Australia,2020-03-10T14:13:14,1,0,0,-12.4634,130.8456,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Bhutan,2020-03-06T15:43:02,1,0,0,27.5142,90.4336,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
New Brunswick,Canada,2020-03-11T23:13:06,1,0,0,46.5653,-66.4619,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Tibet,China,2020-03-11T02:18:14,1,0,1,31.6927,88.0924,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Congo (Kinshasa),2020-03-11T21:13:24,1,0,0,-4.0383,21.7587,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Cote d'Ivoire,2020-03-12T01:18:01,1,0,0,7.54,-5.5471,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
Saint Barthelemy,France,2020-03-11T20:53:02,1,0,0,17.9,-62.8333,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Guyana,2020-03-12T05:53:03,1,1,0,5.0,-58.75,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Holy See,2020-03-10T19:13:21,1,0,0,41.9029,12.4534,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Jordan,2020-03-03T15:33:02,1,0,0,31.24,36.51,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Liechtenstein,2020-03-04T01:33:07,4,0,0,47.14,9.55,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Mongolia,2020-03-10T06:13:43,1,0,0,46.8625,103.8467,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Nepal,2020-03-10T08:33:03,1,0,1,28.3949,84.124,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Reunion,2020-03-11T23:13:07,1,0,0,-21.1151,55.5364,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
,Togo,2020-03-07T02:13:09,1,0,0,8.6195,0.8248,2020-03-12,03-12-2020.csv,2026-05-18 17:40:48.982385
