Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,_report_date,_source_file,_ingested_at
Hubei,Mainland China,2020-02-02T23:43:02,11177,350,295,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Zhejiang,Mainland China,2020-02-02T18:03:05,661,0,32,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Guangdong,Mainland China,2020-02-02T18:03:05,632,0,15,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Henan,Mainland China,2020-02-02T18:03:05,493,2,10,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Hunan,Mainland China,2020-02-02T18:03:05,463,0,16,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Anhui,Mainland China,2020-02-02T18:03:05,340,0,7,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Jiangxi,Mainland China,2020-02-02T18:03:05,333,0,12,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Chongqing,Mainland China,2020-02-02T23:33:02,300,2,7,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Jiangsu,Mainland China,2020-02-02T18:03:05,236,0,7,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Sichuan,Mainland China,2020-02-02T18:03:05,231,1,11,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Shandong,Mainland China,2020-02-02T18:03:05,230,0,6,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Beijing,Mainland China,2020-02-02T08:43:02,191,1,9,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Shanghai,Mainland China,2020-02-02T05:53:02,182,1,10,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Fujian,Mainland China,2020-02-02T03:43:01,159,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Shaanxi,Mainland China,2020-02-02T03:23:14,116,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Guangxi,Mainland China,2020-02-02T00:23:13,111,0,2,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Yunnan,Mainland China,2020-02-02T18:03:05,105,0,3,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Hebei,Mainland China,2020-02-02T02:53:02,104,1,3,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Heilongjiang,Mainland China,2020-02-02T03:23:14,95,2,2,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Liaoning,Mainland China,2020-02-02T18:03:05,70,0,1,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Shanxi,Mainland China,2020-02-02T23:23:13,66,0,3,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Hainan,Mainland China,2020-02-02T18:03:05,64,1,4,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Gansu,Mainland China,2020-02-02T23:43:02,51,0,3,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Tianjin,Mainland China,2020-02-02T09:43:01,48,0,1,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Guizhou,Mainland China,2020-02-02T01:03:32,38,0,2,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Ningxia,Mainland China,2020-02-02T01:43:02,28,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Inner Mongolia,Mainland China,2020-02-02T03:43:01,27,0,1,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Jilin,Mainland China,2020-02-02T02:33:02,23,0,1,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Xinjiang,Mainland China,2020-02-02T00:43:02,21,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
,Japan,2020-02-01T18:53:03,20,0,1,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
,Thailand,2020-01-31T10:37:00,19,0,9,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
,Singapore,2020-02-02T01:03:32,18,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Hong Kong,Hong Kong,2020-02-02T23:53:02,15,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
,South Korea,2020-02-02T02:23:13,15,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Qinghai,Mainland China,2020-02-02T05:33:03,11,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
,Germany,2020-02-02T18:03:05,10,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Taiwan,Taiwan,2020-01-31T15:20:56,10,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Macau,Macau,2020-02-02T04:23:14,8,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
,France,2020-02-01T01:52:40,6,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
,Vietnam,2020-02-01T07:38:12,6,0,1,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
,United Arab Emirates,2020-02-02T05:43:01,5,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
New South Wales,Australia,2020-02-01T18:12:49,4,0,2,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Victoria,Australia,2020-02-01T18:12:49,4,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Ontario,Canada,2020-02-01T18:12:49,3,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Queensland,Australia,2020-02-02T22:33:07,2,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
South Australia,Australia,2020-02-02T22:33:07,2,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
,India,2020-02-02T06:03:08,2,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
,Italy,2020-01-31T08:15:53,2,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
,Philippines,2020-02-02T03:33:07,2,1,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
,Russia,2020-01-31T16:13:45,2,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Unknown,United Kingdom,2020-02-01T01:52:40,2,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
"Chicago, IL",US,2020-02-01T19:43:03,2,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
,Cambodia,2020-01-31T08:15:53,1,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
British Columbia,Canada,2020-02-01T18:12:49,1,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
,Finland,2020-01-31T08:15:53,1,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Tibet,Mainland China,2020-02-01T01:52:40,1,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
,Nepal,2020-01-31T08:15:53,1,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
,Spain,2020-02-01T23:43:02,1,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
,Sri Lanka,2020-01-31T08:15:53,1,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
,Sweden,2020-02-01T02:13:26,1,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
"Boston, MA",US,2020-02-01T19:43:03,1,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
"Los Angeles, CA",US,2020-02-01T19:53:03,1,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
"Orange, CA",US,2020-02-01T19:53:03,1,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
"Santa Clara, CA",US,2020-02-01T19:53:03,1,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
"Seattle, WA",US,2020-02-01T19:43:03,1,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
"Tempe, AZ",US,2020-02-01T19:43:03,1,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
Unknown,China,2020-02-02T23:43:02,0,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
,Kiribati,2020-02-02T23:43:02,0,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
,Palau,2020-02-02T23:43:02,0,0,0,2020-02-02,02-02-2020.csv,2026-05-18 17:40:23.900427
